id,config.fold,config.n_max,config.l_max,config.n_pretrain,config.n_finetune,config.hidden_size,config.n_layers,config.dropout,config.pre_dropout,config.activation,config.optimizer,config.weight_decay,config.lr,config.structures_per_batch,config.pre_structures_per_batch,config.pre_lr,config.pre_weight_decay,config.all_data,results.fine_tune.local.mae.train,results.fine_tune.local.mae.val,results.fine_tune.local.mae.test,results.fine_tune.local.rmse.train,results.fine_tune.local.rmse.val,results.fine_tune.local.rmse.test,results.fine_tune.structure.mae.train,results.fine_tune.structure.mae.val,results.fine_tune.structure.mae.test,results.fine_tune.structure.rmse.train,results.fine_tune.structure.rmse.val,results.fine_tune.structure.rmse.test,metadata._time.start,metadata._time.end,metadata.search-mode
221122-121834-0574-wary-tale,0,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.3258398263919884,0.3188285199637124,0.33449435874964,0.4206758078308141,0.4084217237914095,0.4297195071183377,1.387596007014892,2.956970638557199,2.686420607671294,1.8135329805210632,3.839261772596298,3.360462431285009,1669119514.059186,1669120014.338438,random
221122-131414-0761-icky-wind,0,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.28376381889899,0.2776267459318004,0.2858496064168929,0.3692870043375421,0.3576405570526674,0.37006998466332,1.8245412395529728,3.054221364637064,2.5495578307194915,2.3756313081040306,3.9099264708341193,3.225299372194369,1669122854.077124,1669123264.57954,random
221122-131414-0763-hard-plan,0,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4347372906101519,0.4279485304220938,0.4286895455114984,0.5646170722501219,0.5531365654882499,0.5544888162591192,2.0828816569459865,3.068011217163648,2.7593574126132663,2.6522926869979973,3.875944162313291,3.454689263126597,1669122854.079217,1669123341.796896,random
221122-131414-0937-lame-spot,0,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4601767380619329,0.4521935031880645,0.450249915155844,0.6050766552251371,0.5919957356050062,0.592931360573618,2.2653799105773564,3.095714458056585,2.931057939679364,2.7696427184180505,3.959508434514825,3.763195029259702,1669122854.096444,1669123463.890383,random
221122-131414-0943-arid-clue,0,8,8,-1,-1,82,3,0.1952662721893491,0.36,CELU,Adam,0.0073751115763683,0.0007643179926026,200,50,0.0006978305848598,2.782559402207126e-06,,0.2691290322477997,0.2660956140003929,0.2676704686869759,0.3490589312503194,0.3448771384850917,0.3483626452416,2.06920395012587,2.8629003679884084,2.4269353770577493,2.6883400797964274,3.730708281793546,3.2151001309416225,1669122854.107577,1669123380.79439,random
221122-131414-0970-poor-lack,0,8,8,-1,-1,96,3,0.272189349112426,0.08,CELU,Adam,0.0909238225994712,0.0009317140691367,200,50,0.0002942727176209,0.0278255940220712,,0.421369072116265,0.4127124795008715,0.4148333744669202,0.5495002866215145,0.5353153849681034,0.5390511820844585,2.4472851294327165,3.277143178486812,2.961930208143908,3.1318248700311484,4.15470907485565,3.8024852662888176,1669122854.098877,1669123619.092933,random
221122-131414-0970-tame-code,0,8,8,-1,-1,179,3,0.0828402366863905,0.304,CELU,Adam,0.0023545115567287,0.0005291074560361,200,50,0.00045315836376,0.0001185971012337,,0.3347783477470812,0.3293517935564534,0.3350078834979255,0.4339806975535905,0.4260527150919718,0.4350469101358599,1.1940751854017546,2.615793899415352,2.3674090520276887,1.4759510517232146,3.233735808844857,3.146359455566255,1669122854.098099,1669123384.011826,random
221122-131414-0976-easy-idea,0,8,8,-1,-1,40,3,0.3461538461538461,0.42,CELU,Adam,0.0811130830789687,0.0006181900972203,200,50,0.0048696752516586,1.6681005372000591e-06,,0.2597018018492743,0.2586287853633524,0.2602877604435847,0.340030095379317,0.3367090280182618,0.3400846503640145,2.1004520942972817,2.896809530634842,2.5571014701103185,2.674397390506244,3.9077541830710527,3.247246568482206,1669122854.099171,1669123652.01143,random
221122-131420-6686-fast-bell,0,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4568162959213469,0.4492078387025433,0.4482530924615591,0.5971620861528047,0.5853669579743851,0.585996927307661,1.821934557111593,2.955048850278464,2.736062808716454,2.306100788994171,3.836589197228391,3.547475636240117,1669122860.669925,1669123477.474739,random
221122-131420-6689-ugly-home,0,8,8,-1,-1,51,3,0.4615384615384615,0.24,CELU,Adam,3.935875227966554e-06,0.0008320221709323,200,50,0.0003651741272548,7.742636826811277e-06,,0.3316472745021648,0.3322073961422724,0.3279547393747876,0.4329144002635832,0.4310417467117154,0.427763604475922,2.394613852877413,3.196154088102666,2.48000966392024,3.0223622475932483,4.104260907040485,3.361884341706923,1669122860.670401,1669123467.451545,random
221122-131420-6760-easy-lift,0,8,8,-1,-1,286,3,0.3136094674556213,0.424,CELU,Adam,4.9455531777176135e-06,0.0009584502877408,200,50,0.0006264335366568,0.0025550970903525,,0.4244964024470762,0.4195985817696309,0.4177171702333882,0.5472715986810278,0.5400287183602405,0.5388452253170963,1.4033438031517014,2.6230830131333414,2.444838994649692,1.8089578371288613,3.414088122085367,3.2807228649151425,1669122860.677127,1669123441.990384,random
221122-132104-5831-high-date,1,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.3353419777108442,0.3399817169001006,0.3265018066657683,0.4341913186670002,0.4428659227510169,0.4209653893338375,1.0809339436746015,2.513403098430787,3.139305464385307,1.3905725987248487,3.2071903729246545,4.040207884280736,1669123264.583516,1669123356.464696,random
221122-132221-8007-drab-bend,1,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4823555754380831,0.4842373498821319,0.4695314502837609,0.6361423270570072,0.6399870393557071,0.616387017209174,1.4948049005435775,2.4853586301372577,2.6756407441516337,1.9358058567957737,3.13405889271234,3.402461752407269,1669123341.801135,1669123511.547153,random
221122-132236-4673-keen-slip,2,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.3008385386428072,0.2953606250351591,0.3061822071485761,0.3897203699235906,0.3853237098800772,0.4012236705768544,1.8319329289805488,3.089938328188308,3.110491009573244,2.365759466785144,4.066475701001821,4.382025362033859,1669123356.467711,1669123431.966928,random
221122-132300-7999-fast-tour,1,8,8,-1,-1,82,3,0.1952662721893491,0.36,CELU,Adam,0.0073751115763683,0.0007643179926026,200,50,0.0006978305848598,2.782559402207126e-06,,0.2566342647523101,0.2587043078440404,0.2565104468506703,0.3343562805033377,0.3388120419446614,0.3330886335443788,1.4724059501426063,2.437636701799431,2.5163787330037866,1.85287020576522,2.987513247741272,3.292407012186173,1669123380.80045,1669123549.81084,random
221122-132304-0154-aged-belt,1,8,8,-1,-1,179,3,0.0828402366863905,0.304,CELU,Adam,0.0023545115567287,0.0005291074560361,200,50,0.00045315836376,0.0001185971012337,,0.2987601561049163,0.3002493656776985,0.2947001668645534,0.3907503025623218,0.395841347841791,0.3832314129538069,2.2864595495831264,3.214505149271252,2.9705026547615523,2.778155396475872,3.9130755544722553,3.906248637184946,1669123384.015834,1669123533.863538,random
221122-132351-9705-high-seat,3,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.3274725881023814,0.3354327379218014,0.3221088399142225,0.4227892707470168,0.4308379116803393,0.4169404210418955,1.766671221950483,3.0036895661460448,3.029380316363002,2.2043398468130606,3.8282683648059552,3.742095215855518,1669123431.970911,1669123507.038372,random
221122-132401-9945-weak-fish,1,8,8,-1,-1,286,3,0.3136094674556213,0.424,CELU,Adam,4.9455531777176135e-06,0.0009584502877408,200,50,0.0006264335366568,0.0025550970903525,,0.4048750973124243,0.4045476953444077,0.3959248846676057,0.5283920606404005,0.5304478525837429,0.5146035486045666,2.4713800592467736,2.897911519670215,3.3602892628038434,3.1863541979261165,3.853940783022213,4.328940592251312,1669123441.994998,1669123568.488229,random
221122-132423-8969-left-hold,1,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4641300351812381,0.4649587643940605,0.4560949732839552,0.610314340365368,0.6120725185288839,0.5989922512748953,1.625192195948516,2.8687765550224262,3.0001051077525167,2.0389459808205084,3.5838771948709267,3.855391115444365,1669123463.897457,1669123648.080424,random
221122-132427-4557-live-past,1,8,8,-1,-1,51,3,0.4615384615384615,0.24,CELU,Adam,3.935875227966554e-06,0.0008320221709323,200,50,0.0003651741272548,7.742636826811277e-06,,0.3388705179724668,0.3417644339199836,0.3360363021765267,0.4436831789426381,0.4466941921943425,0.4377413215335998,2.4705527885457297,2.9006557073476804,3.353008463965499,3.1151675202152984,3.72574623463336,4.163396146469981,1669123467.456222,1669123694.8819,random
221122-132437-4800-tart-dare,1,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4431447669897383,0.4433632845997682,0.4368338369808422,0.575212369329242,0.5762714229412385,0.5642081929291196,3.3085765476844693,4.217811715600964,3.89380514568686,4.04652990489324,5.055641607798531,4.909454518280921,1669123477.480522,1669123613.207954,random
221122-132507-0433-huge-gift,4,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.3411692321581426,0.3388426878437788,0.3508061335416513,0.442961098662831,0.442923819075693,0.4513605446980282,1.4113826754455938,2.5274794880286007,2.8574100513238267,1.812774543277532,3.141055098866849,3.501885997712681,1669123507.043725,1669123581.812127,random
221122-132511-5687-numb-tune,2,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4684016882279863,0.4514968624122355,0.4682405940341383,0.6170140972455597,0.5944482611785866,0.6194647550066429,1.1807504014618773,2.4091963678805275,2.713264059529679,1.551986101992087,3.062948629506961,3.426375980207735,1669123511.57001,1669123727.28209,random
221122-132533-8679-bare-land,2,8,8,-1,-1,179,3,0.0828402366863905,0.304,CELU,Adam,0.0023545115567287,0.0005291074560361,200,50,0.00045315836376,0.0001185971012337,,0.2896359837993756,0.2842075384707631,0.2929199091958738,0.3780623252701296,0.371021793235478,0.3847869948044115,1.5153483100011649,2.5378029481500426,2.585586510004944,1.93779520185255,3.140897077810889,3.1931668730355915,1669123533.868349,1669123652.612264,random
221122-132549-8165-fair-kick,2,8,8,-1,-1,82,3,0.1952662721893491,0.36,CELU,Adam,0.0073751115763683,0.0007643179926026,200,50,0.0006978305848598,2.782559402207126e-06,,0.2968846562792828,0.2857706120557912,0.2988061607910474,0.3852476533017452,0.3731509947041471,0.3901861236939823,1.9330948904693743,2.4126688143708264,2.656101891271116,2.374505375646744,3.1145953132098168,3.3500325376851707,1669123549.817107,1669123682.296332,random
221122-132608-4941-puny-wife,2,8,8,-1,-1,286,3,0.3136094674556213,0.424,CELU,Adam,4.9455531777176135e-06,0.0009584502877408,200,50,0.0006264335366568,0.0025550970903525,,0.4647490384430209,0.4509844047019986,0.4658069738601706,0.6112920814262789,0.5927910415811457,0.6154291615555008,2.211590632488552,2.97061154385858,3.0636247870913222,2.7568897378394306,3.6963836025501458,3.937038666754904,1669123568.494569,1669123741.345512,random
221122-132621-8180-lone-exit,5,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.2834889608663877,0.2908036233201528,0.2831273796485231,0.3667383392645018,0.3788882370261626,0.3666259857798856,1.9300643864969032,2.6991527486368145,2.6872377114349955,2.4646136307987345,3.4022095469147016,3.473934728359489,1669123581.818456,1669123635.946887,random
221122-132653-2134-evil-peak,2,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4706384565639586,0.4543445259402915,0.4723539198427773,0.6142961320233334,0.5937119167547682,0.6177935644462033,2.200955246980443,2.821004334654985,3.280410618897402,2.632906118480829,3.588557044900802,4.072360788188368,1669123613.213941,1669123811.079807,random
221122-132659-0979-vast-quit,1,8,8,-1,-1,96,3,0.272189349112426,0.08,CELU,Adam,0.0909238225994712,0.0009317140691367,200,50,0.0002942727176209,0.0278255940220712,,0.4458731678037771,0.4453917389309103,0.4347981670154002,0.5838393765320716,0.5851830117361648,0.5665877084677893,2.193364056889916,2.809061286436022,3.289395213079452,2.7919331132796863,3.617413961104978,4.055002232396539,1669123619.098552,1669123756.080574,random
221122-132715-9532-fake-fold,6,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.3054454955214087,0.3121817003383933,0.3099255367877968,0.3949880236449373,0.4040719064553332,0.4040412247006694,1.767480085108824,2.7973099310057243,2.498581696520245,2.239994563668162,3.5739501169494825,3.3611406017653325,1669123635.953604,1669123705.854668,random
221122-132728-1063-tall-belt,2,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4191861492744267,0.4080446318394476,0.4188952151061312,0.5425628951417759,0.5294625417777777,0.543468133841603,2.63926165443195,3.26481536638496,2.7960149197801547,3.4061013158938303,4.227485811676166,3.788322216616069,1669123648.106909,1669123746.393009,random
221122-132732-0152-wise-salt,1,8,8,-1,-1,40,3,0.3461538461538461,0.42,CELU,Adam,0.0811130830789687,0.0006181900972203,200,50,0.0048696752516586,1.6681005372000591e-06,,0.2601902753501083,0.2636908906689179,0.2587410559028086,0.3415934473493904,0.3456968770041122,0.3375775388878482,2.046811251725169,2.8906772211744114,2.94489664115975,2.5799371248333887,3.493516933961283,3.892391188706054,1669123652.015853,1669123763.688227,random
221122-132732-6163-poor-term,3,8,8,-1,-1,179,3,0.0828402366863905,0.304,CELU,Adam,0.0023545115567287,0.0005291074560361,200,50,0.00045315836376,0.0001185971012337,,0.3071075694510677,0.3112444187292234,0.3007160199804974,0.3961232190763608,0.400771902606306,0.388137964173314,1.3985318692603064,2.45591825213017,2.485551491015181,1.7936219568266307,3.1757776027866265,3.03752033531267,1669123652.616741,1669123764.340558,random
221122-132802-2997-icky-hide,3,8,8,-1,-1,82,3,0.1952662721893491,0.36,CELU,Adam,0.0073751115763683,0.0007643179926026,200,50,0.0006978305848598,2.782559402207126e-06,,0.2711591480073996,0.2744215580975707,0.2642378835825109,0.351688646462854,0.3560939990316199,0.3422395180136039,1.8621118727580417,2.717865307601215,2.6880194907955306,2.348360863262825,3.344853718748336,3.362361013159787,1669123682.300198,1669123822.047597,random
221122-132814-8871-true-view,2,8,8,-1,-1,51,3,0.4615384615384615,0.24,CELU,Adam,3.935875227966554e-06,0.0008320221709323,200,50,0.0003651741272548,7.742636826811277e-06,,0.3427174952570305,0.3303566632416158,0.3413037370853876,0.4464631512631755,0.4297254597227172,0.4457030871711355,2.149792413696355,2.7001106626559683,2.8219513677073125,2.766774212767233,3.4545984455613565,3.627464985834547,1669123694.887736,1669123870.159566,random
221122-132825-8608-oval-look,7,8,8,-1,-1,55,3,0.0029585798816568,0.3399999999999999,CELU,Adam,1.3819612567338275e-05,0.0009186269540704,200,50,0.0115478198468945,0.0007742636826811,,0.3064515333125764,0.3117155100394182,0.3120306347987309,0.3959979158786124,0.4005017012346011,0.4012398558796239,1.629535971008608,2.5120335552772888,2.771378403239491,2.101923079544686,3.167099241304645,3.46755502215039,1669123705.861196,1669123775.642399,random
221122-132847-2845-able-list,3,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.4371656718387673,0.4496755768566827,0.4258062881566165,0.5637639500927284,0.5760803824110731,0.5493000663917763,2.652365048405964,3.153701006205856,3.42905866159735,3.44310519846039,4.034408821344192,4.382484802873406,1669123727.285806,1669123814.431156,random
221122-132901-3534-wide-wait,3,8,8,-1,-1,286,3,0.3136094674556213,0.424,CELU,Adam,4.9455531777176135e-06,0.0009584502877408,200,50,0.0006264335366568,0.0025550970903525,,0.414444516166854,0.4232597570060114,0.4016402809222487,0.5404121726726316,0.5505838542255248,0.5231247671110254,2.878423888059093,3.664128491787857,3.0556524558831515,3.6836761357968313,4.406789197478337,3.895883490730953,1669123741.353831,1669123887.152401,random
221122-132906-4005-vast-dish,3,8,8,-1,-1,391,3,0.4674556213017751,0.344,CELU,Adam,0.0007516801086146,0.0007222710471031,200,50,0.0014855080171727,0.0197831888278416,,0.435476117163237,0.448564452400533,0.4202366183945167,0.5622010724879883,0.5772312148297228,0.5432860394452889,3.235019017588433,3.707898418164012,3.467025670632065,4.007474279984202,4.599135643809361,4.425019782198127,1669123746.401149,1669123841.723327,random
221122-132916-0860-rosy-song,2,8,8,-1,-1,96,3,0.272189349112426,0.08,CELU,Adam,0.0909238225994712,0.0009317140691367,200,50,0.0002942727176209,0.0278255940220712,,0.4184605833839125,0.4044870688807988,0.4189925668073276,0.5442929266327714,0.527537104940798,0.5464729830188676,1.815925545774852,2.5739651390010554,2.8932397556067024,2.374058915125949,3.3247635182264568,3.6572428341885264,1669123756.086632,1669123986.110178,random
221122-132923-6943-deep-wish,2,8,8,-1,-1,40,3,0.3461538461538461,0.42,CELU,Adam,0.0811130830789687,0.0006181900972203,200,50,0.0048696752516586,1.6681005372000591e-06,,0.2748813553482384,0.2644857267746284,0.2777975698196094,0.3596564478435844,0.3449915446872931,0.3620273633502728,2.2291293538847943,2.663693481968432,2.8671435168285555,2.786883947791533,3.3217938682070103,3.605135330407069,1669123763.694849,1669123899.61347,random
221122-132924-3456-cool-fear,4,8,8,-1,-1,179,3,0.0828402366863905,0.304,CELU,Adam,0.0023545115567287,0.0005291074560361,200,50,0.00045315836376,0.0001185971012337,,0.3070583723587484,0.3088934677655318,0.3121023545338596,0.403142071980092,0.4051414768220072,0.4075822945537505,1.883773178072948,2.61769785170218,3.0283894205537982,2.5547015318775315,3.2358286442427016,3.835685253088965,1669123764.346059,1669123898.840222,random
