id,config.fold,config.n_max,config.l_max,config.n_train,config.hidden_size,config.n_layers,config.dropout,config.activation,config.optimizer,config.weight_decay,config.lr,config.structures_per_batch,results.local.mae.train,results.local.mae.val,results.local.mae.test,results.local.rmse.train,results.local.rmse.val,results.local.rmse.test,results.structure.mae.train,results.structure.mae.val,results.structure.mae.test,results.structure.rmse.train,results.structure.rmse.val,results.structure.rmse.test,metadata._time.start,metadata._time.end,metadata.search-mode
221025-141631-6172-cold-play,0,8,8,-1,73,2,0.36,CELU,AdamW,2.782559402207126e-06,0.000191095297497,64,0.5076132958546059,0.4981591131071932,0.4997993982544137,0.6672518044842298,0.6517412274272173,0.6547089652900152,2.4641116797609217,3.409126251812436,2.907769094372951,3.110632548270844,4.365538658172447,3.693777383987531,1666703791.617509,1666703922.515703,random
221025-141631-6174-poor-hair,0,8,8,-1,164,2,0.324,CELU,AdamW,2.555097090352507e-05,0.0003278121151393,64,0.526501297959822,0.5112749497083293,0.5219612253422683,0.692996213902818,0.6712353453334896,0.6840940772604048,1.580930824055878,2.946209622449602,2.594905008279844,2.159720965432584,3.880059069863736,3.424184295816037,1666703791.617816,1666704062.96348,random
221025-141632-9525-easy-park,0,8,8,-1,19,3,0.328,CELU,AdamW,0.0006528521141127,0.0002287573200318,64,0.4494551136143964,0.4425548755224318,0.4395897013078068,0.5912183036820744,0.5814153767644693,0.5779387873387913,3.2261453655609107,4.105869675588974,3.281925218143152,3.94158327203258,4.961934512259328,4.159526501818186,1666703792.952866,1666703930.658034,random
221025-141632-9526-even-vast,0,8,8,-1,339,5,0.072,CELU,AdamW,1.765686433839502e-06,0.0002246790091812,64,0.5270806163074198,0.5124380991494382,0.5205434525294299,0.6941188204186743,0.6719753357664796,0.6828604900893335,1.3308119427628444,2.7963690547941704,2.506606992121406,1.659360467674878,3.636787153387597,3.3424038265879106,1666703792.953014,1666703952.349184,random
221025-141659-8215-glum-self,0,8,8,-1,179,3,0.064,CELU,AdamW,0.0009182542835656,0.0001197085030495,64,0.542850799573636,0.5292826367741836,0.5362141239195967,0.706750522554847,0.6871241345821457,0.6947627604238057,1.0838043923943772,2.836162724317198,2.701498380933798,1.4597996674138929,3.594616501857788,3.369231208872214,1666703819.821854,1666704222.576068,random
221025-141700-3753-wavy-form,0,8,8,-1,179,3,0.064,CELU,AdamW,0.0009182542835656,0.0001197085030495,64,0.5535701350448023,0.5406951066786976,0.546676586263702,0.7208521203631726,0.701153499222173,0.707675985693333,0.9723201467138396,2.7996882398371814,2.557350111130748,1.2861149226390944,3.508875529659821,3.2477979451553747,1666703820.375649,1666704133.161605,random
221025-141700-5222-fake-fill,0,8,8,-1,5,1,0.0,CELU,AdamW,1e-06,0.0001,64,0.4773270800972139,0.4745978743702304,0.4711843756097475,0.6199763458623266,0.617535955480535,0.6079220060078278,2.603966296351744,3.973420148424866,3.203661115186089,3.300653167563953,4.879495495102995,4.077343273659805,1666703820.522561,1666704459.634678,random
221025-141700-5223-able-land,0,8,8,-1,10,3,0.228,CELU,AdamW,6.528521141127848e-06,0.0004067944321083,64,0.462249181856968,0.4535227008179664,0.4525188227418958,0.6126333434038288,0.599522347711431,0.5980279449242801,3.14669633688236,4.108964028487657,3.38017642958272,3.864213773713455,5.109847122398135,4.312482172964052,1666703820.522583,1666703962.667621,random
221025-141703-3656-live-lady,0,8,8,-1,16,5,0.272,CELU,AdamW,0.017656864338395,0.0001684854879435,64,0.4468227525385839,0.4382972814196332,0.4402409755899985,0.5900478539543871,0.5784667213203107,0.5806447958678645,3.66652227228319,4.508712734347997,3.5621596863025298,4.435433907073599,5.544527975221139,4.462864853869735,1666703823.365965,1666703985.905804,random
221025-141703-4259-busy-face,0,8,8,-1,43,2,0.48,CELU,AdamW,5.994842503189409e-05,0.0001240937760751,64,0.4997199260631069,0.493284400078684,0.490088803151415,0.6606802691405672,0.6500626535709944,0.6465083059508174,3.084520273954524,3.907700850152134,3.2392064908829976,3.750569107676855,4.806165306894305,4.059431377023604,1666703823.451421,1666703979.922653,random
